rank,strategy,factor,direction,rebalance,cagr,sharpe,max_dd,final_equity,annual_turnover,theme,start,end,cost_bps,topk,cfg_sig,run_id
1,factor_portfolio,vol_20,long_high,weekly,0.40451089118307193,1.0170002384103105,-0.5146580719694493,7.118152849955637,9.657692307692308,all,2019-01-01,2024-12-31,10.0,10,5aebb330eb06c41f,20260131-124110_factor_bt_theme=all_fac=vol_20_reb=weekly_dir=long_high_top=10_cost=10_20190101-20241231
2,factor_portfolio,mom_20,long_high,weekly,0.31323798013331183,0.904324635525936,-0.5271146325679267,4.8279422409977375,19.152815934065934,all,2019-01-02,2024-12-31,10.0,10,966496b25153f537,20260131-192407_factor_bt_theme=all_fac=mom_20_reb=weekly_dir=long_high_top=10_q=0.8_cost=10_20190101-20241231
3,xsec_momentum_weekly_invvol,,,,0.19781095697921547,0.6808398140877804,-0.49421631415079736,2.8373314421107096,9.966826923076928,all,2019-01-02,2024-12-31,10.0,,df0ce2145d4cb22c,20260131-101145_xsec_momentum_weekly_invvol_theme=all_lb=60_top=10_ma=60_cost=10_minbars=800_vw=20_mw=0.10_20190101-20241231
4,xsec_momentum_weekly_topk,,,,0.19424733711594722,0.6717803090616499,-0.4942163141507977,2.788904396519825,9.813461538461539,all,2019-01-02,2024-12-31,10.0,,d264c6c38e79b995,20260131-101144_xsec_momentum_weekly_topk_theme=all_lb=60_top=10_ma=60_cost=10_minbars=800_vw=20_mw=0.10_20190101-20241231
5,xsec_momentum_weekly_topk,,,,0.19424733711594722,0.6717803090616499,-0.4942163141507977,2.788904396519825,9.813461538461539,all,2019-01-02,2024-12-31,10.0,,7b7efd1002f1fbf4,20260131-003536_xsec_momentum_weekly_topk_theme=all_lb=60_top=10_ma=60_cost=10_minbars=800_20190101-20241231
6,factor_portfolio,mom_60,long_high,weekly,0.19469515531917048,0.6512362583612588,-0.498012486326294,2.79495210663886,10.364697802197801,all,2019-01-02,2024-12-31,10.0,10,062cec232e0340bf,20260131-155943_factor_bt_theme=all_fac=mom_60_reb=weekly_dir=long_high_top=10_q=0.8_cost=10_20190101-20241231
7,factor_portfolio,mom_60,long_high,weekly,0.19469515531917048,0.6512362583612588,-0.498012486326294,2.79495210663886,10.364697802197801,all,2019-01-02,2024-12-31,10.0,10,3886c01cff85982b,20260131-155540_factor_bt_theme=all_fac=mom_60_reb=weekly_dir=long_high_top=10_q=0.8_cost=10_20190101-20241231
8,xsec_momentum_weekly_topk,,,,0.18329637725557402,0.6436557292817282,-0.4934893751319356,2.6443455234398874,9.951923076923077,all,2019-01-02,2024-12-31,10.0,,f45f7ac826d7824a,20260131-002645_xsec_momentum_weekly_topk_theme=all_lb=60_top=10_ma=60_cost=10_20190101-20241231
9,ts_ma_weekly,,,,0.12253345405143357,0.5446028356985749,-0.44346390521469725,1.9500258054369288,14.065732952384625,all,2019-01-02,2024-12-31,10.0,,76855d8dabdc008a,20260131-101148_ts_ma_weekly_theme=all_lb=60_top=10_ma=60_cost=10_minbars=800_vw=20_mw=0.10_20190101-20241231
10,ts_ma_weekly,,,,0.12253345405143357,0.5446028356985749,-0.44346390521469725,1.9500258054369288,14.065732952384625,all,2019-01-02,2024-12-31,10.0,,4a969c65dbf1843a,20260131-003537_ts_ma_weekly_theme=all_lb=60_top=10_ma=60_cost=10_minbars=800_20190101-20241231
